,STOCK,SMB,HML
1962,UONE,3.163089369,2.534451182
1977,UUU,2.506254609,2.022329594
1567,PSHG,0.395669872,1.902506453
788,FTLF,1.17923749,1.846942646
2100,YHGJ,1.407774736,1.344290188
435,CPSH,1.740550524,1.326072204
1132,LDWY,1.547030941,1.148163006
1402,OBE,1.824336305,1.113351357
382,CLRO,1.270010114,1.095341875
155,AVNW,1.495515776,1.048945275
1209,MD,1.410929422,1.042158191
1237,MHLD,0.667754383,0.987003405
335,CELH,2.0498395,0.906330609
1935,UAN,0.959559933,0.897447815
532,DIT,1.247911001,0.837373159
1739,SM,1.225679629,0.814259386
210,BGFV,1.047150988,0.797136968
931,HLX,1.371132237,0.733485253
1362,NR,1.541255767,0.717433219
1926,TXMD,-0.807516663,0.712880637
1095,KFS,1.231066165,0.70200007
610,ELMD,1.192554948,0.68220212
652,ESOA,0.870643279,0.677427222
1147,LINC,1.094030798,0.649104911
398,CMT,1.742434108,0.63829625
1374,NTIC,0.877905493,0.62424822
917,HGBL,1.304301985,0.620472313
1356,NOG,0.582900297,0.615892335
1970,USM,1.029150472,0.602370641
365,CIG,0.708837796,0.591580523
1043,ITI,1.133322247,0.591115974
1840,TDW,0.947010543,0.580108418
886,GTIM,0.347069519,0.577555286
1753,SNT,0.333007328,0.569340862
412,CODA,-1.86972968,0.561903692
54,AGYS,1.167164824,0.550075876
90,AMS,0.401398758,0.541088787
920,HIBB,0.32484276,0.531979577
1430,OPOF,0.58128044,0.528407952
1466,PBT,0.782703445,0.527595374
1786,SSSS,1.403492532,0.527085019
1382,NVGS,0.267524664,0.515054754
1548,POWL,0.59653016,0.513033293
321,CCEL,0.828627948,0.511049024
1763,SOTK,0.740473154,0.509186721
1893,TRGP,0.578597928,0.507233136
1139,LFVN,0.606341852,0.507184146
1631,RNR,0.577407502,0.501358136
1366,NS,0.709810919,0.487358044
1137,LEU,1.78184049,0.473709843
106,APA,0.722472429,0.472669844
1661,SANW,0.407193891,0.471130944
82,AMEH,0.209134372,0.461194211
1417,OIS,1.056366893,0.458287932
689,EXPR,0.631883204,0.457105392
289,CAAS,1.515681577,0.449711968
220,BHRB,1.391916535,0.449479377
1075,JOB,-0.888313305,0.449347664
1465,PBR,0.879249472,0.446920892
2060,WLFC,0.629904135,0.43871324
137,ATGE,0.755492637,0.435587057
1693,SENEA,0.625507226,0.433978158
1416,OII,0.783886379,0.4289305
1020,INFU,0.485495042,0.422322318
821,GEL,0.586187696,0.416293111
112,APWC,0.632151292,0.411845584
1208,MCS,0.851909933,0.409301851
250,BOOM,1.284381647,0.398359633
16,ACGL,0.683264167,0.398251218
1159,LOAN,-0.313430276,0.396950267
595,EG,0.652476388,0.393797842
92,AMSWA,0.940387436,0.389898096
683,EXK,0.605672785,0.38425486
1429,OPHC,-0.044658484,0.380716766
1758,SOHO,0.490040277,0.377830103
655,ESSA,0.554102002,0.369354796
1749,SNEX,0.390824559,0.368614117
633,EPM,0.334019798,0.367326804
977,HWKN,0.556469115,0.365448449
779,FRO,0.661419554,0.357284663
1769,SPOK,0.612436068,0.352915175
1310,MYRG,0.03502884,0.351616682
1687,SCX,0.587192315,0.351468786
1322,NCPL,2.805665762,0.345119718
1984,VALE,0.917457655,0.342693835
1499,PFX,0.019678734,0.342071484
1626,RLI,0.355887375,0.332389816
1165,LQDT,0.163293211,0.327216605
1903,TRT,0.750456064,0.326360175
385,CLWT,0.327130485,0.325627215
5,AAP,0.281522324,0.323817984
1776,SRC,0.09503009,0.322795955
429,CPG,0.392158193,0.32265331
649,ESEA,0.745754456,0.31698156
1809,SVFD,-1.294132606,0.313324567
1046,ITRN,0.892897895,0.312961632
1791,STCN,0.877556127,0.308050768
601,EGY,1.101266983,0.307964219
1979,UVE,0.391900505,0.306048384
567,DXCM,-0.074727018,0.305293037
363,CIEN,0.82444968,0.302759036
1881,TNK,0.322033122,0.302656969
1301,MUR,0.556022281,0.300212686
1346,NMFC,0.370890838,0.29719833
774,FRAF,0.541238731,0.294851896
281,BXC,0.687918027,0.29350651
1992,VET,0.652195154,0.291995072
1013,IMKTA,-0.17670083,0.2915984
963,HTGC,0.359839466,0.287205255
1560,PRI,0.25238172,0.285128006
1694,SENEB,0.340324994,0.280120023
1288,MSTR,0.360529967,0.279330257
403,CNK,0.144873207,0.27830549
1719,SIM,0.199648279,0.274953232
537,DLHC,0.821163507,0.273667354
1526,PLX,0.198596836,0.273370656
1321,NCMI,-0.625635166,0.270041445
535,DKS,0.02805964,0.267820398
1887,TPL,0.79823238,0.267263023
1475,PCRX,0.155011762,0.265797148
508,DCO,0.628857731,0.263566916
568,DXLG,0.336477523,0.262171749
758,FN,-0.18493014,0.261820188
1212,MDRX,0.610168971,0.260196783
625,ENSG,0.195908179,0.258722826
91,AMSF,0.048021871,0.257986703
1447,OVV,0.501472261,0.255484947
187,BCAL,0.276334151,0.252458437
877,GROW,0.939921681,0.251770957
671,EVI,0.710617899,0.247881055
1717,SIGI,0.807851602,0.243081001
1437,ORLY,0.324670743,0.241695759
1080,JWN,0.259289041,0.240010255
300,CALX,0.421603332,0.239675186
1415,OHI,0.58153175,0.237529921
587,EDUC,0.893414471,0.236370488
1671,SBH,0.319840561,0.234610149
166,AXS,0.339545915,0.230496861
1111,KOS,1.089927218,0.227957459
328,CCRD,0.257245692,0.226801644
1151,LLY,0.232654982,0.22658637
265,BSBR,0.544945607,0.225756692
1750,SNFCA,-0.292848927,0.225492439
947,HP,0.320823341,0.225161842
1569,PSO,0.455054172,0.223431126
973,HURN,0.084919361,0.222449543
52,AGRO,0.308100066,0.222349024
1571,PTEN,0.263008516,0.222202962
1726,SJW,0.441670857,0.220765407
