,Stock,trailingPE,sharesOutstanding
0,MSFT,36.500454,7430439936.0
1,AAPL,28.309006,15441899520.0
2,GOOG,24.441378,5671000064.0
3,GOOGL,24.227587,5893000192.0
4,AMZN,58.45172,10387399680.0
5,NVDA,96.176155,2470000128.0
6,META,31.851954,2200049920.0
7,BRK.B,,
8,LLY,140.91171,949307008.0
9,TSLA,46.499996,3184790016.0
10,AVGO,37.753258,468140992.0
11,V,32.055237,1581590016.0
12,JPM,11.024014,2876699904.0
13,UNH,21.886278,924924992.0
14,WMT,28.346088,2692229888.0
15,MA,39.538006,925723008.0
16,XOM,11.668166,3971000064.0
17,JNJ,30.10577,2407280128.0
18,PG,26.383585,2353019904.0
19,HD,23.197824,995262016.0
20,COST,49.25102,443728000.0
21,MRK,912.7857,2534020096.0
22,ABBV,65.25368,1765539968.0
23,CVX,13.599825,1851000064.0
24,CRM,109.742424,968000000.0
25,AMD,334.3654,1615789952.0
26,ADBE,46.287888,452000000.0
27,BAC,11.068182,7895459840.0
28,KO,24.044535,4307409920.0
29,NFLX,48.54115,432760000.0
30,PEP,25.392366,1374429952.0
31,ACN,34.242817,626992000.0
32,TMO,35.4589,386372000.0
33,MCD,25.261244,722142016.0
34,LIN,34.256348,484889984.0
35,CSCO,14.723404,4063480064.0
36,DIS,68.466255,1834300032.0
37,ABT,34.972393,1736060032.0
38,TMUS,23.147188,1186870016.0
39,INTC,108.774994,4228000000.0
40,INTU,71.90131,279936000.0
41,DHR,44.247787,739200000.0
42,WFC,10.747412,3598860032.0
43,QCOM,21.78174,1116000000.0
44,IBM,23.051596,913118976.0
45,CMCSA,11.115903,3962409984.0
46,VZ,14.723637,4204270080.0
47,CAT,15.999502,499376992.0
48,NKE,30.177843,1217219968.0
49,NOW,90.8551,205000000.0
50,AMGN,22.714172,535919008.0
51,BX,69.50543,719358016.0
52,PFE,74.64865,5646410240.0
53,AXP,18.97857,723870016.0
54,AMAT,23.478825,832062016.0
55,GE,18.69173,1088329984.0
56,UNP,23.57457,609777984.0
57,TXN,22.684584,909288000.0
58,MS,16.698843,1641309952.0
59,UBER,90.12644,2076499968.0
60,PM,17.858566,1552460032.0
61,SPGI,51.529198,314100000.0
62,ISRG,75.125,352326016.0
63,BKNG,26.308325,34889900.0
64,LOW,17.396473,575113024.0
65,COP,12.204194,1176409984.0
66,HON,23.25118,659251008.0
67,SYK,42.390778,380264000.0
68,GS,16.809793,326112000.0
69,BA,,610134976.0
70,UPS,19.002562,723257024.0
71,PLD,40.544075,947323008.0
72,T,8.614213,7150020096.0
73,RTX,40.81166,1326829952.0
74,BLK,21.74151,148500000.0
75,LRCX,35.71269,131103000.0
76,ELV,20.326328,234959008.0
77,NEE,15.841667,2051709952.0
78,PANW,203.56111,315300000.0
79,SCHW,25.354332,1771680000.0
80,MDT,27.40909,1329650048.0
81,TJX,27.694916,1139680000.0
82,ETN,34.60349,399300000.0
83,DE,10.515452,279990016.0
84,SBUX,24.925135,1132220032.0
85,VRTX,30.39597,258308000.0
86,PGR,28.737082,585699968.0
87,LMT,15.387156,241643008.0
88,C,13.576733,1903100032.0
89,ADP,29.415115,410791008.0
90,REGN,27.250647,107944000.0
91,BMY,12.917099,2022189952.0
92,CB,11.509174,407990016.0
93,ABNB,21.064917,436432992.0
94,MDLZ,19.88398,1346480000.0
95,CI,19.22717,292504000.0
96,CVS,11.916538,1258450048.0
97,MMC,26.600266,491656000.0
